render_id,canonical_name,category,category_code,policy,original_v5_shift,candidate_shift,difference_from_v5,face_x_after,face_safe,new_edge_clipping,has_new_edge_clipping,tracking_confidence
c234,桃乐丝：机缘巧遇,G 强非对称姿势 (桃乐丝：机缘巧遇),G,D,-72.71,-31.97,40.74,728.03,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9632
c234,桃乐丝：机缘巧遇,G 强非对称姿势 (桃乐丝：机缘巧遇),G,E,-72.71,-47.19,25.52,712.81,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9632
c110,克拉乌,G 强非对称姿势 (克拉乌),G,A,4.21,0.0,-4.21,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.6682
c110,克拉乌,G 强非对称姿势 (克拉乌),G,B,4.21,4.21,0.0,764.21,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.6682
c110,克拉乌,G 强非对称姿势 (克拉乌),G,C,4.21,4.21,0.0,764.21,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.6682
c110,克拉乌,G 强非对称姿势 (克拉乌),G,D,4.21,4.21,0.0,764.21,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.6682
c110,克拉乌,G 强非对称姿势 (克拉乌),G,E,4.21,4.21,0.0,764.21,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.6682
c111,豺狼,G 强非对称姿势 (豺狼),G,A,16.64,0.0,-16.64,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.7141
c111,豺狼,G 强非对称姿势 (豺狼),G,B,16.64,16.64,0.0,776.64,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.7141
c111,豺狼,G 强非对称姿势 (豺狼),G,C,16.64,16.64,0.0,776.64,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.7141
c111,豺狼,G 强非对称姿势 (豺狼),G,D,16.64,16.64,-0.0,776.64,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.7141
c111,豺狼,G 强非对称姿势 (豺狼),G,E,16.64,16.64,0.0,776.64,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.7141
c140,舒格,G 强非对称姿势 (舒格),G,A,67.72,0.0,-67.72,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.6203
c140,舒格,G 强非对称姿势 (舒格),G,B,67.72,67.72,0.0,827.72,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.6203
c140,舒格,G 强非对称姿势 (舒格),G,C,67.72,39.66,-28.06,799.66,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.6203
c140,舒格,G 强非对称姿势 (舒格),G,D,67.72,31.95,-35.77,791.95,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.6203
